mean_vel,std_vel,max_vel,min_vel,ptp_vel,rms_vel,energy_vel,dominant_freq_vel,spectral_centroid_vel,station_id,channel,sampling_rate,event_name
1.476366746604056e-09,0.0002457687546927766,0.0026731551796816393,-0.004121797726869593,0.0067949529065512325,0.0002457687546972109,2.1744821082750423e-05,0.48828125,2.1931092801672314,UGM,SHZ,50.0,event_query?eventid=11877842
1.2672957557108571e-08,0.0003618146978781074,0.0049351832108638265,-0.00892424016315101,0.013859423374014836,0.0003618146981000496,4.712755527404283e-05,0.390625,2.001757425276646,UGM,SHE,50.0,event_query?eventid=11877842
-4.608226450305246e-10,5.583279219705736e-06,0.00010467289164170194,-7.617062567384319e-05,0.00018084351731554514,5.58327923872301e-06,1.1222282540719944e-08,1.220703125,2.2262642603569236,UGM,SHE,50.0,event_query?eventid=11801043
-3.3821006350757885e-11,6.071884680716219e-06,9.014891740600998e-05,-8.854718003387194e-05,0.00017869609743988193,6.07188468081041e-06,1.3272402087741652e-08,0.87890625,2.024657990492562,UGM,SHN,50.0,event_query?eventid=11801043
-4.188924497138634e-11,4.018241902896655e-06,4.607388392878963e-05,-5.282475626814125e-05,9.889864019693088e-05,4.018241903114998e-06,5.812656477101727e-09,0.78125,2.680619649070205,UGM,SHZ,50.0,event_query?eventid=11801043
-1.0799873576043851e-10,1.2021870218602807e-05,0.00017927119764315938,-0.0002179128298028855,0.00039718402744604486,1.2021870219087913e-05,5.202913088325343e-08,0.5859375,3.9770203639578994,UGM,SHZ,50.0,event_query?eventid=11941831
2.4119355857467775e-10,1.3428302455471463e-05,0.00021657566447538213,-0.0002667900376352597,0.0004833657021106418,1.3428302457637572e-05,6.49149504817663e-08,0.78125,3.1854949951644307,UGM,SHN,50.0,event_query?eventid=11941831
-3.462178309068174e-10,2.062874187277436e-05,0.0006542113465909662,-0.00030326518900284684,0.0009574765355938131,2.0628741875679693e-05,1.5319619689443155e-07,1.025390625,2.9603162431501455,UGM,SHE,50.0,event_query?eventid=11941831
-3.9831290833248017e-10,1.2355927155143107e-05,0.0002041411472135291,-0.00016386091269873326,0.00036800205991226236,1.2355927161563234e-05,5.496081696786818e-08,2.587890625,3.5716821512961245,UGM,SHN,50.0,event_query?eventid=11883651
5.827176741824482e-10,1.3229046465831205e-05,0.0002532922556839439,-0.00020176509785508142,0.00045505735353902534,1.3229046478665082e-05,6.300276146448516e-08,1.46484375,3.5297418417030286,UGM,SHE,50.0,event_query?eventid=11883651
3.885140046968693e-11,9.657794246867894e-06,0.00015239904954647538,-0.0001803706162376845,0.0003327696657841599,9.65779424694604e-06,3.357827629788385e-08,3.369140625,4.144312558979512,UGM,SHZ,50.0,event_query?eventid=11883651
2.90865100108676e-10,3.197665825082304e-06,2.707792290027278e-05,-3.419508460918035e-05,6.127300750945314e-05,3.197665838311095e-06,3.6810240528606476e-09,1.220703125,1.407590213532191,UGM,SHN,50.0,event_query?eventid=11904443
1.1470648789579908e-10,3.1156177078181612e-06,2.5915292640187065e-05,-3.204236563717709e-05,5.795765827736416e-05,3.1156177099297136e-06,3.4945465371939626e-09,1.220703125,1.5050582326370592,UGM,SHE,50.0,event_query?eventid=11904443
-1.5093357485039585e-10,2.497598255589557e-06,2.064444793596157e-05,-1.826842557747669e-05,3.891287351343826e-05,2.497598260150127e-06,2.2456789448777793e-09,0.5859375,1.458195443388969,UGM,SHZ,50.0,event_query?eventid=11904443
-2.955591748542491e-10,1.2594696908231087e-05,0.00012278158239686576,-0.0001310855271802458,0.00025386710957711156,1.2594696911699024e-05,5.710550050712195e-08,1.220703125,1.7878366621239317,UGM,SHE,50.0,event_query?eventid=11884276
2.1541033297536626e-10,1.066169732658477e-05,9.158106067023448e-05,-8.342663606068144e-05,0.00017500769673091594,1.0661697328760858e-05,4.092184437483831e-08,1.07421875,1.58557042403213,UGM,SHZ,50.0,event_query?eventid=11884276
