station_id,station_lat,station_lon,station_elev,distance_to_event,pga,rms_acc,arias_intensity,sig_duration,predominant_freq,mean_freq,spectral_centroid,low_freq_energy,mid_freq_energy,high_freq_energy,component
IU.YSS.00.BHE,46.9587,142.7604,148.0,9.44095172392411,0.021250118093083196,0.0010977014694564802,0.00012733954553852928,247.4,0.0537109375,0.49283327124315446,0.49283327124315446,0.000285863132966519,2.7451721435069987e-05,8.766850680279877e-06,E
YP.NE87..BHN,46.349701,122.507797,248.0,17.565784834078983,0.0016547763373743276,0.00031993624097402534,1.0817367901390115e-05,185.425,0.029296875,0.09374129220170302,0.09374129220170302,5.6404082879595345e-06,9.924462465329708e-08,1.799895740797624e-09,N
IC.MDJ.00.BHN,44.617,129.5908,220.0,12.350913653175892,0.026361472853788877,0.0006326766405835767,4.2301756039814636e-05,299.5,0.0244140625,0.8547913341004131,0.8547913341004131,6.930711485600061e-05,1.3273701647187335e-05,4.632032733268364e-06,N
YP.NEAE..BHN,47.2994,132.525604,70.0,12.462488939444805,0.005839239112354894,0.0010412767916739706,0.00011458483198619093,349.675,0.068359375,0.22606817057458314,0.22606817057458314,0.00012267357576916852,3.731228234162542e-06,3.654524054677702e-07,N
YP.NE87..BHE,46.349701,122.507797,248.0,17.565784834078983,0.001982052188717758,0.00037924768742938906,1.5199837750260567e-05,355.32500000000005,0.0390625,0.21829407687791016,0.21829407687791016,5.80782365853178e-06,3.5602479765483595e-07,2.2591900874830976e-09,E
YP.NE8D..BHZ,46.119099,127.879501,133.0,14.157993846723402,0.00252402476398501,0.0004871036987175629,2.507479074746242e-05,258.05,0.048828125,0.16306849971457846,0.16306849971457846,2.3786429934702046e-05,4.099946108882739e-07,1.4764228840162433e-07,Z
YP.NE5E..BHN,44.060501,130.556595,562.0,11.473425360489141,0.002074551618109658,0.0005375171024128537,3.053369611957174e-05,375.125,0.078125,0.09560411234318851,0.09560411234318851,3.325924932330467e-05,1.7834231109078466e-07,1.355484155522714e-08,N
YP.NE75..BHE,44.3083,119.954498,485.0,18.641077084651467,0.00012515818806557748,3.0660627860889935e-05,9.935125163940526e-08,579.275,12.16796875,9.182382431396967,9.182382431396967,1.544518500975124e-09,1.638943143036185e-08,8.07470894008773e-08,E
YP.NE93..BHZ,46.926998,122.430199,283.0,17.845628066288604,0.0021355683561877525,0.00039780958807937415,1.6724195654905368e-05,329.175,0.029296875,0.27511626558201324,0.27511626558201324,4.47465270150621e-06,4.2071465736274e-07,2.088062183485169e-09,Z
YP.NEP5..BHN,45.733601,122.619797,177.0,17.262923039415035,0.0016098138100201962,0.00035753582394953444,1.3509321604307805e-05,342.90000000000003,0.029296875,0.46223960097507877,0.46223960097507877,9.223281931644574e-06,1.5927991945210841e-06,1.0240986232256349e-08,N
YP.NE5E..BHZ,44.060501,130.556595,562.0,11.473425360489141,0.003965517067425684,0.001139480857114155,0.0001372172990821253,286.825,0.078125,0.08217598578889095,0.08217598578889095,0.00014054537877336817,4.811394398965423e-07,2.9150255810042706e-08,Z
JP.JHJ2..BHE,33.115299,139.813797,70.0,5.13049921423863,0.05772271240683616,0.004318808916496585,0.001971313443843205,185.5,2.880859375,4.2153994964154755,4.2153994964154755,0.0003275080521019197,0.0029139229952635168,0.0021007439496816974,E
YP.NE68..BHE,44.897301,122.845398,148.0,16.826971962650667,0.0026985207358735217,0.0006005708616287046,3.8117400489102806e-05,383.27500000000003,0.0390625,0.31129363396687354,0.31129363396687354,2.08404588523415e-05,1.1897391619155148e-06,1.5705761785348552e-08,E
YP.NE7G..BHZ,45.9207,132.497299,132.0,11.490904974766817,0.0032348718601844717,0.0008656400486839554,7.918983956933956e-05,246.15,0.078125,0.07509156938135372,0.07509156938135372,7.859951035624076e-05,7.962448726630726e-08,2.639776814287664e-10,Z
YP.NE35..BHN,42.8913,119.693199,445.0,18.55278500370684,0.001204588362947266,0.0002110948308852488,4.709231047482037e-06,345.0,0.029296875,1.3591301086914513,1.3591301086914513,1.635134792010343e-06,2.4189611484359057e-06,1.9389015343773477e-08,N
YP.NE3A..BHN,43.074501,126.654198,401.0,13.64570123755901,0.0007069716626306776,0.00014445054613071385,2.2051248093972974e-06,306.95,0.01953125,0.04938245969114969,0.04938245969114969,2.2345048037167175e-06,1.0842174027245565e-09,1.7125394060795988e-09,N
YP.NE99..BHZ,47.065601,128.0569,211.0,14.58244280750777,0.004964099790131597,0.0009184783807832689,8.915232659759335e-05,134.75,0.078125,0.09449783434370822,0.09449783434370822,3.867298665270841e-05,1.1473094426892636e-07,4.3686039635013395e-08,Z
YP.NEAD..BHE,47.581402,133.5802,50.0,12.219037978000621,0.008903572965300206,0.0012111772677520466,0.00015503390192685265,569.275,14.521484375,11.775321952854743,11.775321952854743,1.2886944636850605e-06,5.451732496600668e-06,0.00014774786766226953,E
YP.NE43..BHE,43.425098,118.803398,640.0,19.279243042080726,0.0036940668392808126,0.0005692866157340483,3.424968733324951e-05,367.20000000000005,2.275390625,2.0121780350582084,2.0121780350582084,3.967492525076013e-06,2.719382130074437e-05,2.3684780920187058e-07,E
YP.NE12..BHZ,42.456402,125.217796,448.0,14.485973146509558,0.003933584191857972,0.0009439159402931178,9.416246481493238e-05,158.775,0.048828125,0.055882766730827434,0.055882766730827434,9.441390855054526e-05,4.57280541698631e-08,1.0857611921212349e-09,Z
YP.NE46..BHZ,43.388401,121.495003,234.0,17.35268959648019,1.1223002851187325,0.027873247309992976,0.082105059004028,30.525000000000002,19.853515625,16.71707231856032,16.71707231856032,0.0002708023294543978,0.000909528478419321,0.08305051906538068,Z
YP.NE66..BHN,45.004101,120.704201,503.0,18.303560959282777,0.003917516518714042,0.00033166225572254176,1.162483361537246e-05,364.3,0.01953125,2.1520954752443555,2.1520954752443555,1.7623617169599597e-06,8.993740890205975e-06,3.9589849992647666e-08,N
YP.NE48..BHN,43.593201,127.615402,385.0,13.170301261825806,0.00202581174113414,0.0004816942599748177,2.452190404383232e-05,224.95000000000002,0.087890625,0.0754072393438363,0.0754072393438363,2.6673745137082902e-05,2.272439295963337e-08,1.557806804092579e-08,N
YP.NE11..BHE,42.859901,124.052597,151.0,15.41476926746939,0.002935256542716639,0.0006664571598086127,4.694135998744449e-05,347.55,0.05859375,0.08774702155806267,0.08774702155806267,4.578324717691463e-05,5.314220540216579e-07,3.1474587792630935e-09,E
YP.NE64..BHN,44.783798,118.763199,1039.0,19.576838231558046,0.0023595240188611804,0.0003481295377038133,1.2807856310773867e-05,313.25,1.328125,1.5137607442939176,1.5137607442939176,1.656175028689296e-06,1.1442093753046726e-05,1.2889455907439128e-07,N
YP.NE74..BHE,45.513599,118.806297,863.0,19.727753795610106,0.0026221206575368946,0.00035784077839982973,1.3532310645709036e-05,351.20000000000005,0.01953125,0.8404355787216303,0.8404355787216303,8.353378012408841e-06,3.6116125488263883e-06,8.61243812488515e-09,E
YP.NE59..BHN,44.095901,125.961098,214.0,14.464701825345022,0.0028783391542357155,0.000685949382376598,4.9725474407777245e-05,177.425,0.068359375,0.2476976255355723,0.2476976255355723,3.497678487403693e-05,2.9028307777943e-07,5.709275252696743e-07,N
YP.NE7B..BHN,45.493198,126.877502,181.0,14.45171795286723,0.0029902696180239036,0.0007276313950833604,5.5952263192560196e-05,292.35,0.068359375,0.1543264246981957,0.1543264246981957,5.484582369362685e-05,7.009581257676441e-07,1.1947576603086276e-07,N
YP.NE43..BHN,43.425098,118.803398,640.0,19.279243042080726,0.0035345441433675575,0.0004275570071231218,1.931891591050713e-05,325.0,2.451171875,2.291898713187213,2.291898713187213,1.0025587183471835e-06,1.9395066293775248e-05,2.427565561419133e-07,N
YP.NE9D..BHE,46.778099,131.9207,70.0,12.371961861967401,0.004193258260148851,0.0010493053369391298,0.00011635861936901201,323.375,0.078125,0.11165250349848364,0.11165250349848364,0.0001212918566678921,9.267239246403197e-07,1.8520319332713756e-08,E
YP.NE11..BHN,42.859901,124.052597,151.0,15.41476926746939,0.003236306396883063,0.0004250065145886034,1.9089844033873724e-05,252.625,0.048828125,0.193731954569015,0.193731954569015,7.031350238169553e-06,3.3363724443501756e-07,1.930816881532127e-09,N
YP.NE4B..BHE,43.337502,130.547607,667.0,11.129847161744165,0.003137070817824845,0.0008457582121634168,7.559398685699267e-05,308.75,0.078125,0.09042055809056278,0.09042055809056278,8.951045523235644e-05,3.8879935820281075e-07,4.8679217063220655e-08,E
